行政代码,地名,东经,北纬
110000,北京市,116.395645,39.929986
110100,北京市,116.395645,39.929986
110101,北京市东城区,116.421885,39.938574
110102,北京市西城区,116.37319,39.93428
110105,北京市朝阳区,116.521695,39.958953
110106,北京市丰台区,116.25837,39.841938
110107,北京市石景山区,116.184556,39.938867
110108,北京市海淀区,116.239678,40.033162
110109,北京市门头沟区,115.795795,40.000893
110111,北京市房山区,115.862836,39.726753
110112,北京市通州区,116.740079,39.809815
110113,北京市顺义区,116.728229,40.154951
110114,北京市昌平区,116.216456,40.221724
110115,北京市大兴区,116.425195,39.65279
110116,北京市怀柔区,116.593408,40.638139
110117,北京市平谷区,117.150433,40.215925
110118,北京市密云区,116.843351,40.377058
110119,北京市延庆区,115.974609,40.457033
120000,天津市,117.210813,39.14393
120100,天津市,117.210813,39.14393
120101,天津市和平区,117.202814,39.124809
120102,天津市河东区,117.261693,39.126626
120103,天津市河西区,117.236165,39.084494
120104,天津市南开区,117.162728,39.116987
120105,天津市河北区,117.220297,39.173149
120106,天津市红桥区,117.162217,39.170621
120110,天津市东丽区,117.414782,39.139605
120111,天津市西青区,117.126201,39.035065
120112,天津市津南区,117.39291,38.969791
120113,天津市北辰区,117.180606,39.259131
120114,天津市武清区,117.034578,39.457043
120115,天津市宝坻区,117.411421,39.615544
120116,天津市滨海新区,117.69641,39.017809
120117,天津市宁河区,117.826674,39.329749
120118,天津市静海区,116.975474,38.947772
120119,天津市蓟州区,117.408432,40.046544
130000,河北省,115.661434,38.61384
130100,河北省石家庄市,114.522082,38.048958
130102,河北省石家庄市长安区,114.592622,38.076875
130104,河北省石家庄市桥西区,114.43814,38.033365
130105,河北省石家庄市新华区,114.453501,38.117219
130107,河北省石家庄市井陉矿区,114.050744,38.081098
130108,河北省石家庄市裕华区,114.586383,38.014621
130109,河北省石家庄市藁城区,114.846562,38.022177
130110,河北省石家庄市鹿泉区,114.313559,38.086536
130111,河北省石家庄市栾城区,114.647922,37.900915
130121,河北省石家庄市井陉县,114.077952,38.000891
130123,河北省石家庄市正定县,114.570201,38.227073
130125,河北省石家庄市行唐县,114.457436,38.546695
130126,河北省石家庄市灵寿县,114.187819,38.510936
130127,河北省石家庄市高邑县,114.607385,37.622651
130128,河北省石家庄市深泽县,115.233102,38.194681
130129,河北省石家庄市赞皇县,114.289553,37.628132
130130,河北省石家庄市无极县,114.95114,38.183286
130131,河北省石家庄市平山县,113.872429,38.408762
130132,河北省石家庄市元氏县,114.42836,37.807353
130133,河北省石家庄市赵县,114.834938,37.769612
130181,河北省石家庄市辛集市,115.29875,37.924122
130183,河北省石家庄市晋州市,115.091738,37.991145
130184,河北省石家庄市新乐市,114.762271,38.377578
130200,河北省唐山市,118.183451,39.650531
130202,河北省唐山市路南区,118.20604,39.612987
130203,河北省唐山市路北区,118.18507,39.657846
130204,河北省唐山市古冶区,118.462232,39.723045
130205,河北省唐山市开平区,118.257848,39.692123
130207,河北省唐山市丰南区,118.085847,39.384663
130208,河北省唐山市丰润区,118.05949,39.789909
130209,河北省唐山市曹妃甸区,118.460197,39.273528
130224,河北省唐山市滦南县,118.549385,39.360739
130225,河北省唐山市乐亭县,118.939943,39.357229
130227,河北省唐山市迁西县,118.371389,40.238508
130229,河北省唐山市玉田县,117.734753,39.818843
130281,河北省唐山市遵化市,117.957639,40.137901
130283,河北省唐山市迁安市,118.686955,40.040443
130284,河北省唐山市滦州市,118.70301,39.740963
130300,河北省秦皇岛市,119.604368,39.945462
130302,河北省秦皇岛市海港区,119.577617,39.98878
130303,河北省秦皇岛市山海关区,119.713616,40.0329
130304,河北省秦皇岛市北戴河区,119.479321,39.854293
130306,河北省秦皇岛市抚宁区,119.244847,39.876253
130321,河北省秦皇岛市青龙满族自治县,119.137582,40.35365
130322,河北省秦皇岛市昌黎县,119.094621,39.638021
130324,河北省秦皇岛市卢龙县,118.985564,39.920978
130400,河北省邯郸市,114.482694,36.609308
130402,河北省邯郸市邯山区,114.46929,36.536153
130403,河北省邯郸市丛台区,114.511068,36.637215
130404,河北省邯郸市复兴区,114.448095,36.610369
130406,河北省邯郸市峰峰矿区,114.190422,36.474685
130407,河北省邯郸市肥乡区,114.800199,36.548545
130408,河北省邯郸市永年区,114.536626,36.74188
130423,河北省邯郸市临漳县,114.586944,36.266142
130424,河北省邯郸市成安县,114.704775,36.428151
130425,河北省邯郸市大名县,115.248635,36.309544
130426,河北省邯郸市涉县,113.742914,36.598105
130427,河北省邯郸市磁县,114.255101,36.406731
130430,河北省邯郸市邱县,115.206702,36.79727
130431,河北省邯郸市鸡泽县,114.869566,36.873677
130432,河北省邯郸市广平县,115.020874,36.511926
130433,河北省邯郸市馆陶县,115.299157,36.618537
130434,河北省邯郸市魏县,114.936,36.250568
130435,河北省邯郸市曲周县,115.038532,36.752651
130481,河北省邯郸市武安市,114.058334,36.748995
130500,河北省邢台市,114.520487,37.069531
130502,河北省邢台市襄都区,114.521297,37.059046
130503,河北省邢台市信都区,114.468401,37.05358
130505,河北省邢台市任泽区,114.671339,37.121958
130506,河北省邢台市南和区,114.683683,37.005626
130522,河北省邢台市临城县,114.384665,37.463138
130523,河北省邢台市内丘县,114.530622,37.300525
130524,河北省邢台市柏乡县,114.707424,37.517418
130525,河北省邢台市隆尧县,114.792916,37.364688
130528,河北省邢台市宁晋县,115.021678,37.612087
130529,河北省邢台市巨鹿县,115.058886,37.278679
130530,河北省邢台市新河县,115.257204,37.499363
130531,河北省邢台市广宗县,115.198173,37.083549
130532,河北省邢台市平乡县,115.004819,37.05611
130533,河北省邢台市威县,115.387725,37.078395
130534,河北省邢台市清河县,115.69159,37.04053
130535,河北省邢台市临西县,115.528441,36.858027
130581,河北省邢台市南宫市,115.47941,37.286427
130582,河北省邢台市沙河市,114.283093,36.938635
130600,河北省保定市,115.49481,38.886565
130602,河北省保定市竞秀区,115.412245,38.881183
130606,河北省保定市莲池区,115.497153,38.883528
130607,河北省保定市满城区,115.322246,38.949732
130608,河北省保定市清苑区,115.48988,38.76527
130609,河北省保定市徐水区,115.655772,39.018781
130623,河北省保定市涞水县,115.444628,39.616118
130624,河北省保定市阜平县,114.164211,38.894806
130626,河北省保定市定兴县,115.755046,39.211518
